,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
8.18_564.3302,401.395064,2657.4887624999997,0.0,0.0,0.0,2277.3676050000004,3251.114385,8157.1125999999995,1951.6539896551724
5.8_295.2268,0.0,608.4416968749998,0.0,0.0,496.8256,1006.01325,212.29611,147.95594,152.3128655172414
5.9_295.2263,18.10560095427585,5674.5818141847585,0.0,9.374774308551723,1975.488017308544,7169.764252771356,2843.693027732802,2257.7151182674875,2291.4926376679227
8.58_295.2262,2552.3509368551713,3999.0546253124944,810.6603244137924,280.1650622068964,3009.053058862068,5432.639155517238,4564.547972741376,3786.6018868338533,1488.6797482401894
7.48_295.2266,18448.105370758527,661575.8243549557,1230.6469817241355,1250.545254482756,84199.16735448275,673496.3206362049,407867.3426362056,350223.20211554784,322385.52863620594
8.84_295.2264,5792.543237793082,7060.513557974115,0.0,0.0,6171.681151724121,11674.962912413746,10816.915582068932,6903.983458056404,0.0
7.4_279.2307,4625.283114482745,5717.887195043087,345.37235862068803,679.1585172413774,1016.296037931032,3760.5563862068884,3755.5434862068832,3972.968028840114,5070.830759809734
7.35_279.231,8667.863377931026,9064.227825431028,0.0,510.781731034482,312.865865517241,5796.0178948275825,6128.812894827583,7192.005630094039,9355.341300832335
7.55_279.2306,10579.244165517237,102159.91278017218,1098.7299310344802,940.935862068962,1452.030931034481,116135.69567241361,63243.20117241371,50803.86911598745,62659.406206896514
7.71_279.2311,2683.8590993103408,3729.3232090517167,365.880110344826,125.47151034482741,172.7982103448268,3258.5426534482694,2748.8402482758543,2511.7691592476435,3654.9306171224675
9.73_279.2309,647.2707398620663,699.4578741379287,485.05070758620406,340.9475075862068,449.1498075862054,733.493256379308,638.004816379308,597.3892194357342,676.318427467298
7.61_496.3387,1739090.1555442011,4691313.8932942,1866118.0995441999,1681566.4195442013,2196643.1995441997,5038260.989544201,3882077.8495442,4436749.28136238,3908750.3685097178
7.79_496.3388,18996161.976931006,36798663.004431,20465619.816931,18505339.816931,22276316.816931006,37455719.816931,33437467.316931,34882167.63511282,32319731.334172383
7.61_540.3303,1758568.1159631002,3601315.858963101,1897522.9839630998,1676057.9839630998,2067762.4839630998,3686496.8689631014,3147341.9339631004,3368865.329417647,3120876.2253424115
7.79_540.3307,8289921.541434458,12745047.653934408,8825930.941434463,8102026.74143448,9285361.441434463,12762635.141434401,12051809.291434404,12211434.268707134,11878665.13453785
7.67_293.2107,1189.7637824827536,128415.41249342637,100.7029779310342,12.00468896551714,6226.490866896542,114439.40129482734,73623.24294482733,60876.699465015496,44796.60996206888
7.8_293.2108,764.6460477241363,39996.11073782324,89.3419910344826,58.25179103448259,7302.386064137931,38158.048605172386,21359.224807413782,15025.12310307209,17724.64326551723
7.05_293.2106,1056.5833423172405,16712.38384616373,62.689901448275805,95.07322096551721,1042.097281931034,16044.052542413749,12162.121052413744,10424.235822369874,9008.974829999961
8.3_293.2114,123.7092663448272,3469.087342392235,484.46919903448077,150.72606634482742,106.1388995172412,3980.1551817241293,1539.2788653793057,1568.879938369902,1236.5266424018987
9.35_293.213,6349.280517045971,6937.220603019023,0.0,0.0,7584.434457415217,12142.071296307426,10817.002116676691,10688.223596978813,1051.6660804667188
8.03_343.2268,230.0114148,14031.377487499985,0.0,0.0,368.83526,14876.71279999999,9658.049674999984,9320.680843636354,7791.820875862066
7.86_343.2271,488.64997228965444,20309.95848830816,38.86287517241368,2.39004158620688,1438.1075987931001,18408.982838534455,16465.739287931006,15890.604889749195,12207.715332758593
8.76_343.2272,79.77191756689635,588.5526387704733,0.0,38.872566958620595,20.76657395862064,216.20999015689617,277.9270373965513,673.5888913912214,292.2188281189057
7.64_321.2418,73.48883583448247,3194.388007543098,784.784135862068,0.369889862068964,15.59456786206888,3128.5357224137874,2295.5834113793076,1307.269246263321,1149.5477573127203
